Station,sample_datetime,value,date
Traralgon,8/12/2019 0:00,6.599999905,2019/12/08
Traralgon,9/12/2019 0:00,5.800000191,2019/12/09
Traralgon,10/12/2019 0:00,16.70000076,2019/12/10
Traralgon,11/12/2019 0:00,5.099999905,2019/12/11
Traralgon,12/12/2019 0:00,7.300000191,2019/12/12
Traralgon,13/12/2019 0:00,6,2019/12/13
Traralgon,14/12/2019 0:00,6.699999809,2019/12/14
Traralgon,15/12/2019 0:00,2.799999952,2019/12/15
Traralgon,16/12/2019 0:00,5,2019/12/16
Traralgon,17/12/2019 0:00,5.300000191,2019/12/17
Traralgon,18/12/2019 0:00,17.89999962,2019/12/18
Traralgon,19/12/2019 0:00,22.20000076,2019/12/19
Traralgon,20/12/2019 0:00,9.699999809,2019/12/20
Traralgon,21/12/2019 0:00,23.10000038,2019/12/21
Traralgon,22/12/2019 0:00,8.100000381,2019/12/22
Traralgon,23/12/2019 0:00,11.5,2019/12/23
Traralgon,24/12/2019 0:00,12.69999981,2019/12/24
Traralgon,25/12/2019 0:00,6.400000095,2019/12/25
Traralgon,26/12/2019 0:00,10.19999981,2019/12/26
Traralgon,27/12/2019 0:00,5.699999809,2019/12/27
Traralgon,28/12/2019 0:00,14.19999981,2019/12/28
Traralgon,29/12/2019 0:00,14.30000019,2019/12/29
Traralgon,30/12/2019 0:00,15.80000019,2019/12/30
Traralgon,31/12/2019 0:00,20.79999924,2019/12/31
